Date,ODA.USA_GGX - Value,ODA.CAN_GGX - Value,ODA.MEX_GGX - Value
31/12/2019,8229.42,1044.415,6131.039
31/12/2018,7848.372,1004.117,5754.731
31/12/2017,7509.571,966.19,5366.118
31/12/2016,7201.637,930.171,5091.278
31/12/2015,6863.126,894.597,4935.05
31/12/2014,6553.614,863.649,4696.75
31/12/2013,6391.779,836.216,4371.275
31/12/2012,6289.51,816.05,4233.481
31/12/2011,6226.424,806.638,3818.446
31/12/2010,6179.669,786.756,3547.337
31/12/2009,6217.222,740.307,3288.814
31/12/2008,5591.564,703.481,3140.707
31/12/2007,5168.492,659.564,2601.368
31/12/2006,4846.382,627.568,2376.79
31/12/2005,4611.184,600.532,2043.862
31/12/2004,4309.797,559.141,1764.827
31/12/2003,4074.76,542.68,1731.262
31/12/2002,3825.912,512.469,1583.758
31/12/2001,3593.67,504.105,1438.197
31/12/2000,3353.5,479.714,1351.317
31/12/1999,3177.6,460.855,1241.348
31/12/1998,3026,443.37,1025.293
31/12/1997,2935.4,422.25,911.513
31/12/1996,2848.4,428.947,713.951
31/12/1995,2732.7,437.198,490.989
31/12/1994,2613.2,426.646,324.101
31/12/1993,2520.6,422.405,282.398
31/12/1992,2431.6,415.673,253.79
31/12/1991,2298.3,398.434,229.524
31/12/1990,2143.2,366.559,206.968
31/12/1989,1968.5,333.214,
31/12/1988,1832.6,319.266,
31/12/1987,1741.4,296.263,
31/12/1986,1648.9,279.113,
31/12/1985,1541.9,266.068,
31/12/1984,1409,243.886,
31/12/1983,1299.5,224.011,
31/12/1982,1191.3,205.814,
31/12/1981,1072,176.785,
31/12/1980,946.7,151.632,
